0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:59:04 +0100] "GET /backoffice/prive/chercheragent HTTP/1.1" 200 6179
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:59:04 +0100] "GET /backoffice/prive/JS/1351.js HTTP/1.1" 404 670
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:59:07 +0100] "GET /backoffice/prive/descriptifagent?identifiant=5 HTTP/1.1" 200 5551
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:59:07 +0100] "GET /backoffice/Images/Agent/5/5-1.jpg HTTP/1.1" 200 61191
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:59:07 +0100] "GET /backoffice/prive/JS/1351.js HTTP/1.1" 404 670
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:59:21 +0100] "GET /backoffice/prive/supprimeagent?idagent=5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:59:21 +0100] "GET /backoffice/prive/chercheragent HTTP/1.1" 200 5914
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:59:21 +0100] "GET /backoffice/prive/JS/1351.js HTTP/1.1" 404 670
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:59:33 +0100] "GET /backoffice/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jun/2020:16:59:33 +0100] "GET /backoffice/ HTTP/1.1" 200 4075
